index,bus_i,name,lat,lon
204,3919,36005027900,40.882,-73.897
205,3920,36005028100,40.884,-73.891
206,3921,36005028300,40.881,-73.902
207,3922,36005028400,40.849,-73.839
208,3923,36005028500,40.886,-73.903
209,3924,36005028600,40.849,-73.848
210,3926,36005028800,40.854,-73.851
211,3927,36005028900,40.88,-73.907
212,3929,36005029302,40.879,-73.916
213,3930,36005029500,40.885,-73.909
214,3931,36005029600,40.855,-73.845
215,3932,36005029700,40.885,-73.912
216,3933,36005030000,40.852,-73.831
217,3934,36005030100,40.883,-73.918
218,3935,36005030200,40.864,-73.822
219,3937,36005030900,40.898,-73.915
220,3939,36005031200,40.862,-73.842
221,3940,36005031400,40.862,-73.846
222,3941,36005031600,40.862,-73.849
223,3942,36005031800,40.862,-73.852
224,3943,36005031900,40.913,-73.907
225,3944,36005032300,40.905,-73.908
226,3945,36005032400,40.861,-73.86
227,3946,36005032600,40.862,-73.855
228,3948,36005033000,40.862,-73.866
229,3950,36005033202,40.863,-73.869
230,3951,36005033400,40.858,-73.875
231,3953,36005033600,40.868,-73.869
232,3954,36005033700,40.906,-73.903
233,3955,36005033800,40.868,-73.866
234,3958,36005034300,40.91,-73.898
235,3959,36005034400,40.868,-73.857
236,3960,36005034500,40.904,-73.899
237,3961,36005034800,40.869,-73.853
238,3963,36005035100,40.895,-73.9
239,3965,36005035800,40.874,-73.843
240,3974,36005036800,40.875,-73.856
241,3977,36005037000,40.873,-73.859
242,3979,36005037200,40.874,-73.863
243,3981,36005037400,40.875,-73.867
244,3984,36005037800,40.88,-73.867
245,3986,36005038000,40.878,-73.862
246,3988,36005038200,40.877,-73.855
247,3991,36005038500,40.856,-73.892
248,3992,36005038600,40.88,-73.848
249,3993,36005038700,40.858,-73.889
250,3995,36005038900,40.856,-73.885
251,3996,36005039000,40.881,-73.861
252,3997,36005039100,40.853,-73.887
253,3998,36005039200,40.883,-73.865
254,3999,36005039300,40.853,-73.883
255,4000,36005039400,40.886,-73.863
256,4001,36005039500,40.848,-73.897
257,4002,36005039600,40.884,-73.859
258,4003,36005039700,40.862,-73.885
259,4005,36005039901,40.864,-73.894
260,4006,36005039902,40.86,-73.895
261,4007,36005040100,40.865,-73.898
262,4013,36005040502,40.866,-73.889
263,4014,36005040600,40.888,-73.857
264,4015,36005040701,40.872,-73.89
265,4016,36005040702,40.869,-73.887
266,4017,36005040800,40.89,-73.862
267,4018,36005040900,40.877,-73.893
268,4020,36005041300,40.874,-73.885
269,4021,36005041400,40.904,-73.854
270,4022,36005041500,40.87,-73.884
271,4024,36005041900,40.877,-73.882
272,4025,36005042000,40.893,-73.86
273,4026,36005042100,40.881,-73.883
274,4027,36005042200,40.891,-73.855
275,4028,36005042300,40.877,-73.877
276,4030,36005042500,40.871,-73.879
277,4031,36005042600,40.891,-73.842
278,4034,36005042902,40.877,-73.874
279,4035,36005043000,40.893,-73.851
280,4037,36005043400,40.898,-73.852
281,4039,36005043600,40.897,-73.85
282,4040,36005044200,40.904,-73.846
283,4048,36005045800,40.886,-73.845
284,4050,36005046201,40.874,-73.827
285,4051,36005046202,40.879,-73.834
286,4058,36007000500,42.108,-75.904
287,4060,36007000700,42.109,-75.872
288,4071,36007011901,42.368,-75.917
289,4072,36007011902,42.28,-75.913
290,4074,36007012000,42.282,-76.028
291,4075,36007012101,42.209,-75.875
292,4076,36007012102,42.175,-75.855
293,4078,36007012201,42.154,-75.862
294,4081,36007012400,42.092,-75.482
295,4083,36007012600,42.089,-75.803
296,4088,36007013000,42.124,-76
297,4104,36007014301,42.084,-75.999
298,4106,36007014400,42.084,-76.035
299,4126,36009961700,42.083,-78.436
300,4129,36011040100,43.269,-76.656
301,4130,36011040200,43.17,-76.539
302,4131,36011040300,43.094,-76.644
303,4132,36011040400,43.046,-76.545
304,4134,36011040600,42.972,-76.512
305,4136,36011040800,42.78,-76.409
306,4137,36011040900,42.688,-76.348
307,4141,36011041300,42.945,-76.583
308,4147,36011042100,42.929,-76.583
309,4153,36013030600,42.096,-79.218
310,4156,36013035100,42.542,-79.145
311,4160,36013035600,42.48,-79.346
312,4165,36013036000,42.407,-79.353
313,4167,36013036300,42.366,-79.467
314,4172,36013036700,42.072,-79.625
315,4179,36013037300,42.138,-79.231
316,4182,36013037600,42.486,-79.119
317,4183,36015000100,42.107,-76.803
318,4188,36015000600,42.092,-76.815
319,4194,36015010200,42.246,-76.847
320,4196,36015010400,42.173,-76.838
321,4197,36015010500,42.167,-76.824
322,4198,36015010600,42.138,-76.844
323,4205,36017970100,42.692,-75.488
324,4206,36017970200,42.615,-75.748
325,4207,36017970300,42.533,-75.527
326,4209,36017970500,42.59,-75.422
327,4210,36017970601,42.536,-75.556
328,4213,36017970801,42.343,-75.518
329,4215,36017970900,42.249,-75.54
330,4219,36019100300,44.9,-73.664
331,4220,36019100400,44.847,-73.879
332,4221,36019100600,44.77,-73.523
333,4223,36019100800,44.721,-73.466
334,4231,36019101800,44.58,-73.8
335,4232,36019101900,44.581,-73.58
336,4240,36021000402,42.44,-73.685
337,4243,36021000700,42.312,-73.651
338,4245,36021000900,42.224,-73.532
339,4247,36021001100,42.226,-73.79
340,4249,36021001300,42.248,-73.788
341,4250,36021001400,42.14,-73.795
342,4252,36021001600,42.129,-73.551
343,4254,36021001800,42.051,-73.71
344,4258,36023970200,42.703,-76.172
345,4259,36023970300,42.639,-76.184
346,4260,36023970400,42.588,-76.12
347,4261,36023970500,42.608,-76.17
348,4262,36023970600,42.599,-76.174
349,4267,36023971100,42.487,-75.966
350,4268,36023971200,42.48,-76.162
351,4272,36025970400,42.307,-75.277
352,4274,36025970600,42.174,-75.127
353,4281,36025971300,42.04,-74.961
354,4282,36025971400,41.957,-75.163
355,4283,36027010000,41.824,-73.553
356,4288,36027040001,41.714,-73.563
357,4289,36027040003,41.651,-73.585
358,4293,36027050203,41.552,-73.812
359,4296,36027060100,41.533,-73.964
360,4298,36027060202,41.494,-73.939
361,4304,36027070201,41.775,-73.929
362,4306,36027070401,41.749,-73.913
363,4312,36027100000,41.945,-73.542
364,4315,36027110005,41.563,-73.599
365,4316,36027120000,41.969,-73.652
366,4320,36027140101,41.727,-73.916
367,4334,36027160005,41.929,-73.908
368,4335,36027170000,41.888,-73.692
369,4340,36027190204,41.586,-73.88
370,4344,36027200001,41.792,-73.673
371,4346,36027210101,41.511,-73.965
372,4350,36027220201,41.711,-73.924
373,4356,36027221100,41.7,-73.918
374,4357,36027300000,41.599,-73.918
375,4363,36029000500,42.864,-78.863
376,4378,36029002702,42.899,-78.834
377,4379,36029002800,42.9,-78.821
378,4381,36029003000,42.904,-78.806
379,4434,36029007600,43.007,-78.863
380,4437,36029007901,43.017,-78.844
381,4438,36029007902,42.997,-78.839
382,4441,36029007905,43.009,-78.836
383,4442,36029008001,42.976,-78.834
384,4445,36029008101,42.991,-78.865
385,4447,36029008201,42.99,-78.879
386,4448,36029008202,42.976,-78.88
387,4450,Indeck Yerkes Energy Center,42.975,-78.915
388,4453,36029008700,42.966,-78.875
389,4460,36029009009,43.058,-78.736
390,4461,36029009010,43.029,-78.725
391,4464,36029009107,43.038,-78.813
392,4468,36029009113,43.014,-78.753
393,4494,36029010500,42.917,-78.788
394,4496,36029010700,42.91,-78.773
395,4497,36029010803,42.901,-78.742
396,4501,36029010808,42.874,-78.747
397,4504,36029010902,42.886,-78.764
398,4506,36029011100,42.88,-78.792
399,4507,36029011200,42.855,-78.731
400,4508,36029011300,42.861,-78.781
401,4524,36029013001,42.784,-78.844
402,4526,36029013101,42.751,-78.878
403,4527,36029013102,42.721,-78.927
404,4535,36029013701,42.784,-78.771
405,4540,36029014101,42.824,-78.607
406,4541,36029014102,42.822,-78.667
407,4542,36029014204,42.904,-78.613
408,4553,36029014604,43.021,-78.674
409,4555,36029014702,42.984,-78.611
410,4556,36029014801,43.021,-78.494
411,4557,36029014803,43.019,-78.524
412,4558,36029014901,42.899,-78.495
413,4559,36029014903,42.912,-78.522
414,4560,36029014904,42.93,-78.552
415,4561,36029015001,42.825,-78.532
416,4565,36029015102,42.562,-78.55
417,4570,36029015401,42.701,-78.987
418,4571,36029015402,42.677,-78.995
419,4573,36029015503,42.631,-79.001
420,4579,36029016100,42.486,-78.932
421,4581,36029016300,42.872,-78.831
422,4588,36029017000,42.925,-78.83
423,4590,36029017200,43.017,-78.864
424,4601,36031960598,44.219,-73.994
425,4607,36031961200,43.851,-73.507
426,4629,36035970600,43.044,-74.395
427,4637,36035971400,43.004,-74.205
428,4638,36035971500,43.066,-74.151
429,4640,36037950100,43.088,-78.022
430,4642,36037950300,43.041,-78.382
431,4643,36037950400,43.001,-78.226
432,4644,36037950500,43.006,-78.2
433,4645,36037950600,43.007,-78.187
434,4646,36037950700,42.993,-78.193
435,4647,36037950800,43.005,-78.177
436,4648,36037950900,43.002,-78.163
437,4649,36037951000,42.989,-78.168
438,4651,36037951200,42.981,-77.982
439,4653,36037951400,42.913,-78.328
440,4654,36039080100,42.419,-73.859
441,4657,36039080300,42.318,-74.29
442,4659,36039080402,42.219,-74.332
443,4662,West Coxsackie,42.345,-73.87
444,4665,36039080900,42.282,-73.864
445,4667,36039081101,42.217,-73.984
446,4668,36039081102,42.198,-73.921
447,4673,36043010100,42.922,-75.059
448,4675,36043010202,43.039,-75.142
449,4680,36043010701,43.05,-74.865
450,4681,36043010702,43.041,-74.839
451,4687,36043011301,43.072,-74.978
452,4688,36043011302,43.105,-75.091
453,4705,36045061300,43.983,-75.892
454,4714,36045062400,43.869,-75.87
455,4717,36047000100,40.698,-73.992
456,4718,36047000200,40.653,-74.011
457,4721,36047000502,40.695,-73.993
458,4723,36047000900,40.692,-73.992
459,4727,36047001800,40.657,-74.01
460,4728,36047002000,40.648,-74.016
461,4729,36047002100,40.703,-73.983
462,4730,36047002200,40.643,-74.022
463,4734,36047003100,40.692,-73.978
464,4741,36047003900,40.685,-73.981
465,4745,36047004500,40.688,-73.995
466,4753,36047005300,40.674,-74.008
467,4757,36047005800,40.619,-74.032
468,4766,36047006800,40.635,-74.026
469,4775,36047007800,40.646,-74.012
470,4776,36047008000,40.649,-74.01
471,4781,36047008800,40.65,-74.001
472,4782,36047009000,40.647,-73.997
473,4786,36047009800,40.644,-74.008
474,4787,36047010000,40.642,-74.01
475,4791,36047010600,40.639,-74.006
476,4792,36047010800,40.641,-74.004
477,4793,36047011000,40.645,-73.993
478,4795,36047011400,40.639,-73.999
479,4806,36047012901,40.682,-73.979
480,4809,36047013100,40.678,-73.98
481,4811,36047013300,40.675,-73.981
482,4813,36047013500,40.673,-73.983
483,4815,36047013700,40.67,-73.985
484,4825,36047014900,40.662,-73.985
485,4829,36047015300,40.668,-73.981
486,4830,36047015400,40.611,-74.019
487,4831,36047015500,40.671,-73.979
488,4832,36047015700,40.673,-73.976
489,4833,36047015900,40.675,-73.973
490,4834,36047016000,40.619,-74.027
491,4835,36047016100,40.68,-73.973
492,4846,36047017200,40.609,-74.01
493,4851,36047017800,40.607,-74.005
494,4853,36047018000,40.608,-74.007
495,4858,36047018501,40.695,-73.974
496,4865,36047019300,40.691,-73.963
497,4867,36047019500,40.691,-73.967
498,4869,36047019700,40.688,-73.967
499,4871,36047019900,40.684,-73.967
500,4882,36047021100,40.697,-73.975
501,4884,36047021300,40.668,-73.96
502,4888,36047021700,40.673,-73.959
503,4894,36047022400,40.641,-73.99
504,4895,36047022600,40.642,-73.986
505,4896,36047022700,40.682,-73.957
506,4897,36047022800,40.639,-73.982
507,4902,36047023300,40.689,-73.957
508,4903,36047023400,40.634,-73.988
509,4908,36047024100,40.692,-73.954
510,4910,36047024300,40.687,-73.953
511,4926,36047025901,40.695,-73.946
512,4929,36047026100,40.692,-73.946
513,4939,36047027100,40.679,-73.937
514,4941,36047027300,40.681,-73.937
515,4943,36047027500,40.684,-73.938
516,4945,36047027700,40.687,-73.939
517,4946,36047027800,40.607,-74.001
518,4949,36047028100,40.693,-73.94
519,4951,36047028300,40.695,-73.94
520,4952,36047028400,40.606,-73.999
521,4953,36047028501,40.699,-73.942
522,4955,36047028600,40.6,-74.002
523,4956,36047028700,40.696,-73.935
524,4957,36047028800,40.605,-73.997
525,4959,36047029000,40.603,-73.994
526,4965,36047029600,40.601,-73.993
527,4968,36047029900,40.678,-73.926
528,4971,36047030200,40.596,-73.991
529,4973,36047030400,40.593,-73.993
530,4974,36047030500,40.677,-73.959
531,4976,36047030700,40.676,-73.926
532,4977,36047030800,40.587,-73.98
533,4979,36047031100,40.676,-73.939
534,4988,36047032500,40.667,-73.958
535,4994,36047033100,40.664,-73.942
536,4995,36047033300,40.666,-73.943
537,4998,36047033700,40.669,-73.942
538,4999,36047033900,40.671,-73.942
539,5005,36047034700,40.673,-73.928
540,5006,36047034800,40.581,-73.983
541,5009,36047035100,40.668,-73.933
542,5012,36047035400,40.58,-73.973
543,5013,36047035500,40.664,-73.933
544,5028,36047036900,40.68,-73.909
545,5037,36047038100,40.681,-73.925
546,5039,36047038300,40.685,-73.926
547,5040,36047038500,40.687,-73.927
548,5042,36047038700,40.691,-73.928
549,5044,36047038900,40.699,-73.937
550,5050,36047039500,40.693,-73.925
551,5060,36047040500,40.682,-73.905
552,5066,36047041100,40.688,-73.907
553,5075,36047041900,40.695,-73.921
554,5077,36047042100,40.697,-73.924
555,5079,36047042300,40.699,-73.927
556,5080,36047042400,40.607,-73.976
557,5083,36047042700,40.704,-73.927
558,5086,36047043000,40.609,-73.984
559,5087,36047043100,40.7,-73.92
560,5093,36047043700,40.693,-73.908
561,5095,36047043900,40.698,-73.909
562,5099,36047044300,40.703,-73.917
563,5101,36047044500,40.705,-73.92
564,5103,36047044700,40.707,-73.923
565,5105,36047044900,40.718,-73.931
566,5109,36047045400,40.619,-73.965
567,5120,36047047600,40.631,-73.981
568,5125,36047048200,40.633,-73.97
569,5126,36047048400,40.634,-73.974
570,5130,36047048900,40.703,-73.939
571,5131,36047049000,40.638,-73.973
572,5132,36047049100,40.704,-73.944
573,5134,36047049300,40.708,-73.941
574,5137,36047049600,40.644,-73.98
575,5140,36047049900,40.721,-73.947
576,5141,36047050000,40.648,-73.977
577,5148,36047050700,40.701,-73.947
578,5149,36047050801,40.651,-73.961
579,5154,36047051002,40.649,-73.96
580,5157,36047051300,40.712,-73.952
581,5159,36047051500,40.719,-73.951
582,5162,36047051700,40.721,-73.955
583,5164,36047051900,40.716,-73.955
584,5169,36047052700,40.708,-73.954
585,5171,36047052900,40.706,-73.955
586,5173,36047053100,40.701,-73.954
587,5175,36047053300,40.704,-73.957
588,5180,36047053900,40.703,-73.963
589,5184,36047054500,40.705,-73.965
590,5186,36047054700,40.709,-73.967
591,5190,36047055100,40.713,-73.963
592,5199,36047056100,40.726,-73.955
593,5201,36047056300,40.733,-73.955
594,5203,36047056500,40.73,-73.955
595,5207,36047057000,40.599,-73.937
596,5208,36047057100,40.725,-73.948
597,5209,36047057200,40.596,-73.938
598,5210,36047057300,40.728,-73.949
599,5212,36047057500,40.732,-73.953
600,5215,36047057900,40.734,-73.948
601,5269,36047069601,40.627,-73.915
602,5271,36047069800,40.612,-73.916
603,5273,36047070201,40.609,-73.909
604,5274,36047070202,40.594,-73.892
605,5277,36047072200,40.632,-73.924
606,5306,36047078200,40.638,-73.941
607,5316,36047079802,40.658,-73.961
608,5321,36047080800,40.657,-73.939
609,5324,36047081600,40.654,-73.944
610,5332,36047083200,40.642,-73.942
611,5341,36047085400,40.645,-73.944
612,5342,36047085600,40.649,-73.945
613,5353,36047087800,40.659,-73.931
614,5354,36047088000,40.662,-73.931
615,5359,36047089000,40.657,-73.915
616,5362,36047089600,40.658,-73.912
617,5366,36047090600,40.67,-73.909
618,5370,36047091600,40.659,-73.909
619,5371,36047091800,40.662,-73.905
620,5374,36047092400,40.667,-73.911
621,5384,36047095000,40.636,-73.917
622,5415,36047105801,40.649,-73.881
623,5416,36047105804,40.646,-73.883
624,5420,36047110400,40.657,-73.889
625,5421,36047110600,40.657,-73.884
626,5422,36047111000,40.661,-73.881
627,5423,36047111600,40.664,-73.876
628,5424,36047111800,40.669,-73.876
629,5433,36047114201,40.68,-73.897
630,5435,36047114400,40.673,-73.899
631,5439,36047115600,40.668,-73.896
632,5451,36047117602,40.686,-73.874
633,5452,36047117800,40.682,-73.874
634,5453,36047118000,40.689,-73.878
635,5454,36047118201,40.688,-73.872
636,5455,36047118202,40.689,-73.869
637,5461,36047119400,40.673,-73.877
638,5462,36047119600,40.676,-73.873
639,5470,36047123700,40.697,-73.957
640,5475,36049950300,43.854,-75.626
641,5480,36051030100,42.953,-77.829
642,5482,36051030202,42.847,-77.727
643,5495,36053030501,42.928,-75.85
644,5497,36053030700,42.88,-75.691
645,5499,36053030900,42.815,-75.542
646,5516,36055001800,43.196,-77.653
647,5517,36055001900,43.199,-77.631
648,5518,36055002000,43.19,-77.634
649,5520,36055002200,43.181,-77.64
650,5521,Rochester 5,43.175,-77.633
651,5534,36055003805,43.12,-77.628
652,5547,36055005400,43.174,-77.568
653,5549,36055005600,43.168,-77.581
654,5550,36055005700,43.165,-77.576
655,5552,36055005900,43.16,-77.574
656,5574,36055008301,43.182,-77.567
657,5576,36055008500,43.251,-77.616
658,5579,36055008702,43.151,-77.662
659,5590,36055010100,43.247,-77.596
660,5594,36055010500,43.22,-77.578
661,5597,36055010700,43.226,-77.549
662,5601,36055011000,43.185,-77.544
663,5603,36055011201,43.22,-77.521
664,5605,36055011205,43.222,-77.482
665,5606,36055011207,43.206,-77.494
666,5607,36055011208,43.205,-77.459
667,5608,36055011301,43.25,-77.408
668,5609,36055011302,43.239,-77.46
669,5610,36055011400,43.213,-77.409
670,5611,36055011501,43.189,-77.45
671,5619,36055011703,43.104,-77.4
672,5624,36055011800,43.099,-77.444
673,5625,36055011901,43.114,-77.458
674,5628,36055012100,43.111,-77.491
675,5645,36055013103,43.081,-77.677
676,5646,36055013104,43.081,-77.633
677,5648,36055013204,43.039,-77.628
678,5673,36055014202,43.148,-77.737
679,5677,36055014302,43.157,-77.693
680,5683,36055014601,43.075,-77.798
681,5684,36055014602,43.075,-77.736
682,5693,36055015000,43.08,-77.875
683,5702,36055980100,43.233,-77.567
684,5706,36057070500,42.956,-74.199
685,5715,36057072500,42.927,-74.697
686,5716,36057072600,42.866,-74.605
687,5719,36059300100,40.816,-73.738
688,5720,36059300300,40.804,-73.742
689,5721,36059300400,40.802,-73.726
690,5722,36059300500,40.788,-73.742
691,5724,36059300700,40.787,-73.726
692,5725,36059300800,40.775,-73.728
693,5730,36059301200,40.827,-73.695
694,5736,36059301800,40.787,-73.699
695,5738,36059302000,40.805,-73.647
696,5741,36059302200,40.786,-73.648
697,5743,36059302400,40.772,-73.648
698,5744,36059302501,40.773,-73.633
699,5746,36059302600,40.732,-73.702
700,5749,36059302900,40.746,-73.678
701,5750,36059303000,40.735,-73.685
